Wall time,Step,Value
1749146751.8568187,215800,1.0
1749146767.9541159,215900,1.0
1749146784.6625044,216000,1.0
1749146800.1345055,216100,1.0
1749146875.135278,216600,1.0
1749146889.3148317,216700,1.0
1749146903.2472544,216800,1.0
1749146931.5898821,217000,1.0
1749146959.9648418,217200,1.0
1749146974.0875723,217300,1.0
1749146988.1199014,217400,1.0
1749150186.433296,217500,1.0
1749150200.4218197,217600,1.0
1749150214.285085,217700,1.0
1749150257.8125632,218000,1.0
1749150288.0084414,218200,1.0
1749150316.8547251,218400,1.0
1749150402.525758,219000,1.0
1749150418.1220524,219100,1.0
1749150450.7433233,219300,1.0
1749150465.2426713,219400,1.0
1749150480.0004518,219500,1.0
1749150494.462854,219600,1.0
1749150508.380441,219700,1.0
1749153722.0478947,220100,1.0
1749153793.858881,220600,1.0
1749153807.9221609,220700,1.0
1749153895.0910432,221300,1.0
1749153925.6734495,221500,1.0
1749153968.894046,221800,1.0
1749154010.6104314,222100,1.0
1749154024.7620554,222200,1.0
1749154038.2011929,222300,1.0
1749157265.4176016,222600,1.0
1749157282.3931448,222700,1.0
1749157327.9405289,223000,1.0
1749157458.0100038,223900,1.0
1749157472.1210938,224000,1.0
1749157566.4945154,224600,1.0
1749157595.5613406,224800,1.0
1749160808.7006912,225000,1.0
1749160865.2938027,225400,1.0
1749160908.8810885,225700,1.0
1749160937.190327,225900,1.0
1749161023.1267538,226500,1.0
1749161065.3544223,226800,1.0
1749161079.870904,226900,1.0
1749161121.8537138,227200,1.0
1749161136.6687944,227300,1.0
1749164386.4417589,227600,1.0
1749164432.3579388,227900,1.0
